Date,PMI,New_Orders,Production,Employment,Supplier_Deliveries,Inventories,Customers_Inventories,Prices,Backlog_Orders,New_Export_Orders,Imports
2024-01-01,47.4,49.2,48.9,47.1,44.8,47.9,48.5,45.2,43.8,49.7,48.3
2024-02-01,47.8,49.6,50.3,47.6,45.1,48.2,48.8,46.1,44.2,50.1,48.7
2024-03-01,50.3,51.4,51.7,48.9,46.5,49.1,49.2,47.8,45.6,51.3,49.5
2024-04-01,49.2,50.7,50.9,48.2,45.8,48.6,48.9,46.9,44.9,50.8,49.1
2024-05-01,48.7,49.3,49.6,47.8,45.3,48.1,48.6,46.3,44.5,49.9,48.8
2024-06-01,48.5,49.5,49.8,47.5,45.6,48.3,48.7,46.5,44.7,50.2,48.9
2024-07-01,46.8,47.4,48.2,46.9,44.2,47.5,48.1,45.1,43.3,48.6,47.8
2024-08-01,47.2,48.8,49.5,47.3,44.9,47.9,48.4,45.7,43.9,49.4,48.3
2024-09-01,47.2,46.1,49.8,43.9,50.1,45.9,50.3,48.3,46.8,45.8,50.6
2024-10-01,46.5,47.2,46.7,44.4,51.8,45.4,50.8,54.8,45.3,45.9,51.3
2024-11-01,48.4,50.3,49.8,48.1,51.6,47.2,50.9,50.7,46.9,48.7,51.8
2024-12-01,49.3,52.5,51.3,49.4,50.8,48.6,50.2,52.2,47.8,51.2,51.1
2025-01-01,50.9,54.2,53.1,50.8,49.2,50.1,49.6,54.9,48.7,53.8,50.3
2025-02-01,52.2,55.8,54.6,51.9,48.5,51.3,49.1,56.3,49.5,55.1,49.7
2025-03-01,50.3,53.6,52.4,50.2,49.8,49.7,49.8,52.1,48.2,52.9,50.1
2025-04-01,49.2,51.8,51.2,49.1,50.5,48.9,50.1,48.7,47.3,51.3,50.6
