Date,PMI,Output,New_Orders,Employment,Input_Prices,Output_Prices,Future_Output,Quantity_Purchased,Suppliers_Delivery_Times,Stocks_Purchases,Stocks_Finished_Goods
2024-01-01,50.7,52.1,50.4,48.9,56.3,51.8,61.2,50.8,48.2,49.7,48.9
2024-02-01,52.2,53.7,52.8,49.5,58.1,53.2,62.8,52.3,47.8,50.2,49.3
2024-03-01,51.9,53.2,52.1,49.8,57.6,52.9,61.9,51.9,48.1,50.5,49.6
2024-04-01,50.0,51.5,49.7,48.6,55.2,51.3,60.5,49.9,48.7,49.8,49.1
2024-05-01,51.3,52.8,51.6,49.2,56.8,52.5,61.7,51.4,48.3,50.1,49.4
2024-06-01,51.6,53.1,51.9,49.4,57.1,52.7,61.9,51.7,48.2,50.3,49.5
2024-07-01,49.6,51.2,49.3,48.5,54.9,51.1,60.2,49.7,48.9,49.6,49.0
2024-08-01,47.9,49.5,47.6,47.8,53.4,49.7,58.9,48.1,49.5,48.9,48.5
2024-09-01,47.3,49.1,46.8,47.2,52.8,49.3,58.4,47.5,49.8,48.6,48.2
2024-10-01,48.5,50.3,48.2,47.9,54.1,50.2,59.3,48.7,49.3,49.1,48.7
2024-11-01,49.7,51.6,49.4,48.3,55.3,51.0,60.1,49.9,48.8,49.7,49.2
2024-12-01,50.1,51.9,49.8,48.6,55.7,51.4,60.5,50.2,48.6,49.9,49.4
2025-01-01,50.9,52.7,50.6,49.1,56.5,52.1,61.2,50.9,48.3,50.4,49.7
2025-02-01,52.8,54.5,53.2,50.3,58.9,53.8,63.1,52.7,47.5,51.6,50.5
2025-03-01,51.4,53.1,51.7,49.6,57.3,52.6,61.8,51.5,48.1,50.6,49.8
2025-04-01,50.2,51.8,50.0,48.9,55.8,51.5,60.7,50.3,48.6,49.9,49.3
